x,y,z_srtm
449462.00,9257040.27,0.00
449657.90,9256978.30,0.00
449855.14,9256916.09,0.00
451237.91,9256467.37,0.00
452981.48,9255892.59,0.00
453171.91,9255831.40,0.00
453362.33,9255769.92,0.00
449465.55,9257526.34,0.00
449638.28,9257470.86,0.00
449809.13,9257418.54,0.00
449982.63,9257364.60,0.00
450152.03,9257306.50,0.00
450319.40,9257244.86,0.00
450825.33,9257070.71,0.00
450995.31,9257016.04,0.00
451164.42,9256962.89,0.00
451331.01,9256907.79,0.00
451496.21,9256854.34,0.00
452148.19,9256648.66,0.00
452311.22,9256596.14,0.00
452476.13,9256544.51,0.00
452642.39,9256492.51,0.00
452808.53,9256438.56,0.00
452975.14,9256386.88,0.00
453142.06,9256335.32,0.00
453310.18,9256282.84,0.00
453479.99,9256230.05,0.00
453649.30,9256177.14,0.00
449737.69,9257919.19,0.00
449928.51,9257856.68,0.00
450123.64,9257793.63,0.00
450317.04,9257729.76,0.00
450511.56,9257666.03,0.00
450706.10,9257604.58,0.00
450901.15,9257544.52,0.00
451091.41,9257483.67,0.00
451287.02,9257420.24,0.00
451474.12,9257360.69,0.00
452051.02,9257168.23,0.00
452244.05,9257102.45,0.00
452437.94,9257038.24,0.00
452632.93,9256979.42,0.00
452827.74,9256921.99,0.00
453021.83,9256861.81,0.00
453215.34,9256800.99,0.00
453407.13,9256742.61,0.00
453597.29,9256685.23,0.00
453786.13,9256625.77,0.00
453975.01,9256562.28,0.00
450161.91,9258281.27,0.00
450343.99,9258220.45,0.00
450525.51,9258158.52,0.00
450705.41,9258097.16,0.00
450883.90,9258036.64,0.00
451061.19,9257976.87,0.00
451238.00,9257917.07,0.00
451416.58,9257859.18,0.00
451596.21,9257803.22,0.00
451774.35,9257747.69,0.00
451950.94,9257691.84,0.00
452128.12,9257636.60,0.00
452307.14,9257581.84,0.00
452487.43,9257524.37,0.00
452669.05,9257463.14,0.00
452852.26,9257401.40,0.00
453035.04,9257341.77,0.00
453219.88,9257282.34,0.00
453402.80,9257222.21,0.00
453584.70,9257161.20,0.00
453766.17,9257099.68,0.00
453949.89,9257037.37,0.00
454134.28,9256976.38,0.00
454319.29,9256916.36,0.00
454504.61,9256859.48,0.00
454689.09,9256802.54,0.00
451117.12,9258433.44,0.00
451285.93,9258383.92,0.00
451454.05,9258331.48,0.00
451622.26,9258276.31,0.00
451790.52,9258220.29,0.00
451959.07,9258166.96,0.00
452126.83,9258113.09,0.00
452294.29,9258059.36,0.00
452461.36,9258006.82,0.00
452627.39,9257953.30,0.00
452794.02,9257902.07,0.00
452962.33,9257852.32,0.00
453131.66,9257801.09,0.00
453300.86,9257748.28,0.00
